ID,system,Donor,Aux,Bridge,Anchor,VIP_eV,VEA_eV,I_AIP_electronic_eV,A_AEA_electronic_eV,AIP_Gibbs_eV,AEA_Gibbs_eV,chi_eV,mu_eV,eta_eV,softness_eV_inv,omega_eV,I_minus_A_eV,lambda_h_eV,lambda_e_eV,lambda_total_eV,CT_percent,Anchor_electron_percent,Donor_to_Anchor_net_e,off_diagonal_fraction,optical_value,PCC_nm,PCB_nm,dominated_by_count,pareto_front,epsilon_dominated_by_count,epsilon_pareto_front,z_optical,z_CT,z_reorg,core_compromise_score,distance_to_ideal,z_anchor,z_TDM,mechanistic_support_score,sigma_ev,source,optical_metric
D09,D09_PTZ_NONE_T_CAA,PTZ,NONE,T,CAA,5.06368877,3.13684561,4.86635098,3.28042295,4.89366849,3.40177703,4.073386965,-4.073386965,0.7929640149999999,0.6305456370551696,10.462316733648947,1.5859280299999998,0.35212813,0.28186044,0.63398857,70.744,36.98,0.2035,0.4188660044651044,0.2192546398228767,474.96409457225707,36.902266148571776,7,False,7,False,0.0,0.41410736579275864,0.06512627265321569,0.1597445461486581,1.4890463608973261,0.6015499732763228,0.5465858293291957,0.5740679013027592,0.2,LEDB4,PCF_sigma_0.20
D10,D10_PTZ_NONE_T_RAA,PTZ,NONE,T,RAA,5.03526702,3.14132243,4.83802937,3.26284168,4.87483821,3.3668104,4.050435525,-4.050435525,0.787593845,0.6348449815526428,10.415284506306692,1.57518769,0.35003339,0.24278244,0.5928158299999999,70.257,50.84,0.19543,0.5379915504597523,0.2701622224788914,482.5982281848122,40.94726713322264,4,False,4,False,0.19825211980284208,0.3533083645443198,0.20165834474451516,0.251072943030559,1.303211085467372,0.9719401389631214,0.8050012867246953,0.8884707128439083,0.2,LEDB4,PCF_sigma_0.20
D11,D11_PTZ_NONE_TT_CAA,PTZ,NONE,TT,CAA,5.04212021,3.19515852,4.84919883,3.33140512,4.83423882,3.45483923,4.090301975,-4.090301975,0.7588968549999999,0.6588510634953153,11.022953999914062,1.51779371,0.34786791,0.26582531,0.61369322,68.96,36.43,0.14881,0.3718822119043091,0.2509057532582504,477.1304579781714,38.17849415601144,7,False,8,False,0.12326062258903335,0.19138576779026076,0.1324272632921225,0.14902455122380553,1.4748597783904447,0.586851950828434,0.4446653038583727,0.5157586273434034,0.2,LEDB4,PCF_sigma_0.20
D12,D12_PTZ_NONE_TT_RAA,PTZ,NONE,TT,RAA,5.00510783,3.18605768,4.8186799,3.30676303,4.81151732,3.43462117,4.062721465,-4.062721465,0.7559584350000002,0.661412025913832,10.917072247610903,1.5119168700000003,0.34261367,0.23805473,0.5806684,67.638,50.4,0.13778,0.3351928448249243,0.3116805718293373,488.6195041872927,43.57976966474829,4,False,4,False,0.3599392465528756,0.026342072409487986,0.24194018628539893,0.20940716841592086,1.3900871228927225,0.9601817210048103,0.365076165389311,0.6626289431970607,0.2,LEDB4,PCF_sigma_0.20
D13,D13_PTZ_BTD_T_CAA,PTZ,BTD,T,CAA,5.01843596,3.38197938,4.81683714,3.53898963,4.83217076,3.64099233,4.177913385,-4.177913385,0.6389237549999998,0.7825659886444513,13.659658226795909,1.2778475099999995,0.36423747,0.28939064,0.65362811,75.109,15.4,0.06707,0.6278829540982833,0.3267571024872043,508.4535391929312,48.77574179231685,2,False,2,False,0.4186525856322658,0.9590511860174777,0.0,0.4592345905499145,1.157428884017772,0.024853019775521103,1.0,0.5124265098877605,0.2,LEDB4,PCF_sigma_0.20
D14,D14_PTZ_BTD_T_RAA,PTZ,BTD,T,RAA,5.01143583,3.33864008,4.80743969,3.47363958,4.82555839,3.5926649,4.140539635,-4.140539635,0.6669000549999999,0.74973753001115,12.853551548294543,1.33380011,0.36350004,0.25966248,0.6231625199999999,75.437,21.83,0.0697,0.6146302906601093,0.3991891462266231,514.4952291952189,50.62198245731639,0,True,0,True,0.7007285645688803,1.0,0.10102631328845191,0.6005849592857774,0.9474793303628082,0.19668626402993045,0.9712513965372447,0.5839688302835876,0.2,LEDB4,PCF_sigma_0.20
D15,D15_PTZ_BTD_TT_CAA,PTZ,BTD,TT,CAA,5.01602639,3.37544076,4.81053553,3.50912976,4.86109646,3.59944054,4.159832645,-4.159832645,0.6507028850000001,0.7683998511855376,13.296550571162516,1.30140577,0.37032084,0.25269772,0.62301856,74.688,14.47,0.05022,0.5715069108060646,0.39547598219011,513.8495620327432,50.57457936075958,3,False,4,False,0.6862681914180168,0.906491885143571,0.1015036960688609,0.5647545908768162,0.9562776915927942,0.0,0.8777051480279325,0.43885257401396627,0.2,LEDB4,PCF_sigma_0.20
D16,D16_PTZ_BTD_TT_RAA,PTZ,BTD,TT,RAA,5.00446101,3.32119105,4.80024282,3.44621948,4.80610225,3.56191604,4.1232311500000005,-4.1232311500000005,0.6770116700000002,0.738539706413037,12.555939483532333,1.3540233400000004,0.37124875,0.24034103,0.6115897800000001,75.203,21.35,0.05454,0.5720088908396997,0.4576463299798584,519.4408662745798,52.103394995392,0,True,0,True,0.928381499399678,0.9707865168539332,0.13940243719892864,0.67952348448418,0.8640664339765246,0.18385889898450028,0.8787940781890673,0.5313264885867838,0.2,LEDB4,PCF_sigma_0.20
D01,D01_TPA_NONE_T_CAA,TPA,NONE,T,CAA,5.0901562,3.12777197,5.02117669,3.28423364,5.08148148,3.39244352,4.152705165,-4.152705165,0.8684715249999999,0.5757241148464828,9.928339439463882,1.7369430499999998,0.11174655,0.29789665,0.4096432,70.577,37.98,0.18657,0.2489111733662811,0.2416485438407287,495.1755798725072,59.91562922697122,4,False,4,False,0.1509168918553965,0.39325842696629154,0.8090733169885994,0.4510828786034291,1.0609102032074418,0.6282736504543024,0.17790793536218272,0.40309079290824257,0.3,AM15G,PCF_sigma_0.30
D02,D02_TPA_NONE_T_RAA,TPA,NONE,T,RAA,5.04126849,3.12996821,4.98357328,3.25670415,5.01696328,3.38204877,4.120138715,-4.120138715,0.8634345649999999,0.5790826777938871,9.830242915305256,1.72686913,0.12017637,0.25915117,0.37932754,69.983,51.89,0.19012,0.269464825092078,0.2857000265247068,503.10165858706455,62.98321565361229,2,False,3,False,0.3623926841788727,0.31910112359550563,0.9096024505030391,0.5303654194258058,0.9371969302300244,1.0,0.22249435272146376,0.6112471763607319,0.3,AM15G,PCF_sigma_0.30
